date,open,high,low,close,VWAP,volume,Change Percent,Change,Trade Value
2020/10/6,98.7728,99.5525,96.2461,96.7494,98.0725,19212134,-1.03,-1.0068,1909913030
2020/10/7,97.6772,99.0491,97.3868,98.4372,98.288,16354434,1.745,1.6878,1628342760
2020/10/8,99.2071,100.5988,98.6,100.4606,99.8879,15643905,2.056,2.0234,1581635940
2020/10/9,100.6778,100.7814,98.8123,99.8881,99.8845,13666060,-0.57,-0.572481,1382603900
2020/10/12,99.7894,101.6648,99.5427,101.1121,100.8157,16014141,1.225,1.2239,1638502370
2020/10/13,101.6648,101.8819,98.9603,99.4736,99.9209,21679157,-1.62,-1.6385,2196180240
2020/10/14,99.7203,100.6037,98.8024,98.9208,99.5872,15199546,-0.556,-0.552741,1533578860
2020/10/15,97.8154,100.4606,97.7561,100.4014,99.6507,17159694,1.497,1.4806,1732127320
2020/10/16,100.0954,101.0035,99.4173,100.1941,100.3432,13274621,-0.206,-0.207278,1349595060
2020/10/19,100.2829,100.5494,98.2694,98.5063,99.0078,11717639,-1.685,-1.6878,1175566750
2020/10/20,99.0097,100.4507,98.8221,99.0689,99.4183,11246559,0.571,0.562611,1132771750
2020/10/21,99.059,99.6809,98.0424,98.0819,98.7397,10705234,-0.996,-0.987036,1071189200
2020/10/22,98.0325,101.9017,98.0226,101.5464,100.774,14812332,3.532,3.4645,1511742680
2020/10/23,102.1583,103.096,101.5957,102.4643,102.4259,15085716,0.904,0.917945,1491490810
2020/10/26,101.3193,101.3687,98.9504,99.9276,99.7993,12408189,-2.476,-2.5367,1254425480
2020/10/27,99.2071,99.6118,97.8746,98.0424,98.4253,10372165,-1.887,-1.8852,1034327020
2020/10/28,96.2361,97.0257,94.8246,95.2885,95.7296,16382087,-2.809,-2.7538,1588731830
2020/10/29,94.874,96.7099,94.0051,95.9104,95.6485,14197649,0.653,0.621833,1375625010
2020/10/30,96.6408,97.1442,94.9826,96.7691,96.0437,15189715,0.895,0.858722,1477355070
2020/11/2,98.1016,99.5723,96.5914,98.9504,98.4949,15005863,2.254,2.1814,1497035660
2020/11/3,101.6845,103.3822,101.3588,102.0695,102.3207,17458536,3.152,3.119,1810201570
2020/11/4,99.6907,100.7469,97.6476,98.9504,99.4253,18865153,-3.056,-3.119,1900776860
2020/11/5,99.7499,103.7326,99.6907,102.9973,102.6969,17822585,4.09,4.0469,1853860080
2020/11/6,103.6685,103.7376,101.0627,101.6253,102.1448,12546524,-1.332,-1.372,1300024990
2020/11/9,111.6931,117.3587,108.9195,115.3846,113.777,47756291,13.539,13.7593,5500355600
2020/11/10,115.8288,115.9275,113.2033,115.0095,114.7592,20530322,-0.325,-0.375074,2386736400
2020/11/11,115.3747,115.4438,112.4827,113.2921,113.2821,14440643,-1.493,-1.7174,1657326240
2020/11/12,111.0713,112.4778,110.6024,111.9004,111.5201,22062049,-1.228,-1.3917,2492186760
2020/11/13,113.2131,113.3711,112.0979,112.6012,112.659,11847343,0.626,0.700795,1352260480
2020/11/16,116.2631,117.0724,114.2316,115.7794,115.4199,19851021,2.823,3.1783,2320577920
2020/11/17,113.8942,114.9306,113.0947,114.6049,114.1291,14549469,-1.014,-1.1746,1683177910
2020/11/18,115.8189,117.0724,113.7066,113.756,115.5249,12548375,-0.741,-0.848852,1468980450
2020/11/19,112.6999,114.3186,112.0879,114.062,113.3396,10196884,0.269,0.305981,1170668770
2020/11/20,112.9466,114.1508,112.611,113.0848,113.1202,12718919,-0.857,-0.977166,1457629100
2020/11/23,114.5456,116.6381,114.0719,116.342,115.777,13195948,2.88,3.2572,1547599170
2020/11/24,118.5135,121.8991,118.1582,121.7214,120.6766,20106193,4.624,5.3793,2457771300
2020/11/25,119.7967,120.7936,118.9034,120.4481,120.0455,11712950,-1.046,-1.2733,1424271080
2020/11/27,120.4185,120.764,119.5104,119.6486,119.9781,5983627,-0.664,-0.7995,727367356
2020/11/30,118.4444,119.155,116.2433,116.3519,117.034,14403041,-2.755,-3.2967,1708005100
2020/12/1,118.78,120.0039,118.0769,118.1878,118.7466,12667524,1.578,1.8359,1524070900
2020/12/2,118.1483,120.7245,117.7239,120.458,119.8848,10808391,1.921,2.2702,1312637610
2020/12/3,120.2704,120.305,118.7998,119.6683,119.5856,12890900,-0.656,-0.78963,1570400200
2020/12/4,120.8923,121.6918,120.1126,120.7541,120.712,13583041,0.907,1.0857,1660575770
2020/12/7,119.5795,120.5863,118.6517,120.3001,120.0494,9723128,-0.376,-0.454037,1182268120
2020/12/8,119.4709,120.7442,119.1946,120.4185,120.3082,9590470,0.098,0.118444,1166979320
2020/12/9,121.5733,121.7016,118.8787,119.4808,119.7367,13069203,-0.779,-0.937684,1590049810
2020/12/10,118.4346,119.2124,118.0101,118.7109,118.6569,13664741,-0.644,-0.769889,1642612510
2020/12/11,117.3982,118.4642,116.8356,118.0101,117.7474,9981065,-0.59,-0.700797,1190560020
2020/12/14,119.7621,119.846,116.574,116.7665,117.5474,12110333,-1.054,-1.2437,1442330600
2020/12/15,117.7436,119.3328,117.0823,118.7603,118.4589,12407962,1.708,1.9938,1489189640
2020/12/16,118.7405,119.5104,118.3062,119.1057,118.964,11168818,0.291,0.345464,1345998880
2020/12/17,119.6881,119.8756,118.0299,118.1187,118.4807,11610261,-0.829,-0.987037,1393656940
2020/12/18,117.5956,118.3296,116.7369,117.5363,117.6933,28745219,-0.493,-0.582352,3426574980
2020/12/21,121.5733,123.3796,119.5203,121.9484,121.9319,28232345,3.754,4.4121,3487339150
